"","num","A_Sales_Year","A_Sales_Value"
"161","50467160","09/07/2001","$79,500"
"162","50467160","05/16/1986","$32,100"
"163","50467160","07/18/1985","$0"
"164","50467170","09/02/2017","$0"
"165","50467170","11/04/2013","$125,000"
"166","50467170","09/07/2007","$170,000"
"167","50467170","07/28/2005","$210,000"
"168","50467170","05/13/2003","$75,000"
"169","50467170","12/27/1989","$0"
"170","50467180","10/08/2021","$205,000"
"171","50467180","09/21/2007","$190,000"
"172","50467180","06/01/2004","$155,000"
"173","50467180","05/01/1985","$63,210"
"174","50467180","10/01/1984","$3,533,000"
"175","50467190","09/26/2016","$125,000"
"176","50467190","08/05/2005","$225,000"
"177","50467190","04/16/2003","$94,500"
"178","50467190","04/26/1985","$65,000"
"179","50467200","12/18/2024","$0"
"180","50467200","07/05/1985","$0"
"181","50467200","07/05/1985","$72,500"
"182","50467200","10/01/1984","$3,533,000"
"183","50467210","06/07/2017","$46,000"
"184","50467210","07/13/2004","$160,000"
"185","50467210","05/01/1985","$63,700"
"186","50467210","10/01/1984","$3,533,000"
"187","50467220","09/23/2024","$255,000"
"188","50467220","08/22/2014","$115,000"
"189","50467220","09/18/2009","$0"
"190","50467220","09/05/2000","$347,775"
"191","50467220","05/11/2000","$34,500"
"192","50467220","06/21/1985","$68,305"
"193","50467230","06/12/2024","$350,000"
"194","50467230","04/27/2021","$280,000"
"195","50467230","01/24/2008","$247,000"
"196","50467230","08/22/2005","$269,000"
"197","50467230","07/18/2002","$76,000"
"198","50467230","10/26/1994","$0"
"199","50467240","07/31/2003","$128,500"
"200","50467240","07/31/2003","$0"
"201","50467240","07/29/1996","$0"
"202","50467250","12/17/2019","$201,000"
"203","50467250","12/18/2009","$110,000"
"204","50467250","03/16/2009","$132,074"
"205","50467250","11/08/2005","$0"
"206","50467250","03/31/2005","$174,000"
"207","50467250","08/03/2004","$151,000"
"208","50467260","08/06/1987","$73,500"
"209","50467260","04/25/1985","$62,080"
"210","50467260","10/01/1984","$3,533,000"
"211","50467270","12/01/2020","$265,000"
"212","50467270","06/28/2019","$0"
"213","50467270","02/25/2015","$205,000"
"214","50467270","05/29/2008","$0"
"215","50467270","05/21/2008","$24,000"
"216","50467270","01/18/2008","$0"
"217","50467270","11/27/2007","$0"
"218","50467270","11/06/2007","$0"
"219","50467270","01/22/1991","$90,500"
"220","50467270","05/29/1985","$77,600"
"221","50467270","10/01/1984","$3,533,000"
"222","50467280","03/25/2022","$222,500"
"223","50467280","09/23/2021","$195,000"
"224","50467280","07/31/2009","$0"
"225","50467280","03/05/2004","$130,000"
"226","50467280","11/05/1996","$230,000"
"227","50467280","05/23/1995","$60,000"
"228","50467290","07/01/2021","$210,000"
"229","50467290","02/08/2002","$56,000"
"230","50467290","06/13/1985","$63,210"
"231","50467290","10/01/1984","$3,533,000"
"232","50467300","06/07/1985","$63,210"
"233","50467300","10/01/1984","$3,533,000"
"234","50467310","03/11/2021","$270,000"
"235","50467310","05/09/2015","$0"
"236","50467310","06/19/2003","$122,000"
"237","50467310","06/27/1985","$76,475"
"238","50467310","10/01/1984","$3,533,000"
"239","50467320","11/06/2024","$0"
"240","50467320","11/29/2006","$185,000"
"241","50467320","06/13/2003","$94,000"
"242","50467320","12/27/1989","$0"
"243","50467320","07/24/1985","$66,000"
"244","50467330","03/24/2020","$235,000"
"245","50467330","08/27/2012","$110,000"
"246","50467330","04/30/1985","$65,000"
"247","50467330","10/01/1984","$3,533,000"
"248","50467340","04/07/2011","$0"
"249","50467340","06/07/1985","$63,700"
"250","50467340","10/01/1984","$3,533,000"
"251","50467350","01/20/2005","$0"
"252","50467350","01/20/2005","$208,000"
"253","50467350","09/05/2000","$347,775"
"254","50467350","11/12/1999","$30,000"
"255","50467360","05/26/2022","$210,000"
"256","50467360","03/15/2004","$135,500"
"257","50467360","10/24/2002","$73,000"
