num,sale_year,sale_price
50467180,10/1/1984,"$3,533,000 "
50467190,9/26/2016,"$125,000 "
50467190,8/5/2005,"$225,000 "
50467190,4/16/2003,"$94,500 "
50467190,4/26/1985,"$65,000 "
50467200,12/18/2024,$0 
50467200,7/5/1985,$0 
50467200,7/5/1985,"$72,500 "
50467200,10/1/1984,"$3,533,000 "
50467210,6/7/2017,"$46,000 "
50467210,7/13/2004,"$160,000 "
50467210,5/1/1985,"$63,700 "
50467210,10/1/1984,"$3,533,000 "
50467220,9/23/2024,"$255,000 "
50467220,8/22/2014,"$115,000 "
50467220,9/18/2009,$0 
50467220,9/5/2000,"$347,775 "
50467220,5/11/2000,"$34,500 "
50467220,6/21/1985,"$68,305 "
50467230,6/12/2024,"$350,000 "
50467230,4/27/2021,"$280,000 "
50467230,1/24/2008,"$247,000 "
50467230,8/22/2005,"$269,000 "
50467230,7/18/2002,"$76,000 "
50467230,10/26/1994,$0 
50467240,7/31/2003,"$128,500 "
50467240,7/31/2003,$0 
50467240,7/29/1996,$0 
50467250,12/17/2019,"$201,000 "
50467250,12/18/2009,"$110,000 "
50467250,3/16/2009,"$132,074 "
50467250,11/8/2005,$0 
50467250,3/31/2005,"$174,000 "
50467250,8/3/2004,"$151,000 "
50467260,8/6/1987,"$73,500 "
50467260,4/25/1985,"$62,080 "
50467260,10/1/1984,"$3,533,000 "
50467270,12/1/2020,"$265,000 "
50467270,6/28/2019,$0 
50467270,2/25/2015,"$205,000 "
50467270,5/29/2008,$0 
50467270,5/21/2008,"$24,000 "
50467270,1/18/2008,$0 
50467270,11/27/2007,$0 
50467270,11/6/2007,$0 
50467270,1/22/1991,"$90,500 "
50467270,5/29/1985,"$77,600 "
50467270,10/1/1984,"$3,533,000 "
50467280,3/25/2022,"$222,500 "
50467280,9/23/2021,"$195,000 "
50467280,7/31/2009,$0 
50467280,3/5/2004,"$130,000 "
50467280,11/5/1996,"$230,000 "
50467280,5/23/1995,"$60,000 "
50467290,7/1/2021,"$210,000 "
50467290,2/8/2002,"$56,000 "
50467290,6/13/1985,"$63,210 "
50467290,10/1/1984,"$3,533,000 "
50467300,6/7/1985,"$63,210 "
50467300,10/1/1984,"$3,533,000 "
50467310,3/11/2021,"$270,000 "
50467310,5/9/2015,$0 
50467310,6/19/2003,"$122,000 "
50467310,6/27/1985,"$76,475 "
50467310,10/1/1984,"$3,533,000 "
50467320,11/6/2024,$0 
50467320,11/29/2006,"$185,000 "
50467320,6/13/2003,"$94,000 "
50467320,12/27/1989,$0 
50467320,7/24/1985,"$66,000 "
50467330,3/24/2020,"$235,000 "
50467330,8/27/2012,"$110,000 "
50467330,4/30/1985,"$65,000 "
50467330,10/1/1984,"$3,533,000 "
50467340,4/7/2011,$0 
50467340,6/7/1985,"$63,700 "
50467340,10/1/1984,"$3,533,000 "
50467350,1/20/2005,$0 
50467350,1/20/2005,"$208,000 "
50467350,9/5/2000,"$347,775 "
50467350,11/12/1999,"$30,000 "
50467360,5/26/2022,"$210,000 "
50467360,3/15/2004,"$135,500 "
50467360,10/24/2002,"$73,000 "
50467360,7/15/1985,"$65,000 "
50467370,5/11/2004,$0 
50467370,3/28/2003,"$100,000 "
50467370,2/27/1996,"$75,800 "
50467380,3/11/2025,"$257,500 "
50467380,12/20/2019,$0 
50467380,8/11/2006,"$206,500 "
50467380,6/27/2002,"$64,900 "
50467380,7/12/1999,$0 
50467380,5/30/1985,"$68,000 "
50467390,2/26/2020,"$220,000 "
50467390,8/31/1992,"$64,700 "
50467390,6/27/1985,"$69,825 "
50467390,9/26/1984,$0 
50467400,8/1/2017,"$200,000 "
50467400,4/13/2006,"$259,500 "
50467400,7/24/2003,"$122,500 "
50467400,10/3/1990,"$80,000 "
50467400,6/1/1990,"$56,700 "
50467410,9/8/2020,"$220,000 "
50467410,5/16/2019,$0 
50467410,11/16/2008,$0 
50467410,8/31/1995,"$64,000 "
50467410,4/26/1985,"$72,500 "
50467410,9/26/1984,$0 
50467420,2/9/2021,"$243,000 "
50467420,3/15/2016,"$125,000 "
50467420,6/20/1985,"$72,030 "
50467420,9/26/1984,$0 
50467430,9/21/2021,"$225,000 "
50467430,2/22/2008,"$155,000 "
50467430,11/21/2002,"$75,000 "
50467430,12/27/1989,$0 
50467430,7/24/1985,"$66,500 "
50467440,9/30/2017,$0 
50467440,9/22/2005,"$264,000 "
50467440,11/5/1996,"$230,000 "
50467440,5/9/1995,"$65,000 "
50467450,3/12/2020,"$210,000 "
50467450,5/16/2019,$0 
50467450,11/16/2008,$0 
50467450,9/25/2002,"$60,000 "
50467450,7/3/1997,$0 
50467450,6/18/1985,"$73,500 "
50467460,5/8/2020,"$240,000 "
50467460,1/31/2016,$0 
50467460,1/18/2014,"$119,810 "
50467460,12/29/2005,"$225,000 "
50467460,11/6/2003,"$98,000 "
50467460,6/27/1985,"$69,825 "
50467460,9/26/1984,$0 
50467470,5/6/2022,"$246,000 "
50467470,4/14/2020,"$235,000 "
50467470,5/24/2012,"$112,000 "
50467470,8/8/2003,"$96,990 "
50467470,6/19/1985,"$73,900 "
50467470,9/26/1984,$0 
50467480,5/15/2019,"$220,000 "
50467480,9/26/2014,$0 
50467480,8/25/2014,$0 
50467480,11/17/2009,"$15,000 "
50467480,12/22/2005,$0 
50467480,6/13/1985,"$82,900 "
50467480,9/26/1984,$0 
50467490,6/27/2023,$0 
50467490,12/9/2021,"$180,000 "
50467490,2/14/2019,$0 
50467490,7/26/1985,"$71,030 "
50467490,9/26/1984,$0 
50467500,7/17/2020,"$247,500 "
50467500,2/22/2006,"$215,000 "
50467500,10/28/2003,"$110,000 "
50467500,12/29/2000,"$49,500 "
50467500,5/10/1985,"$72,422 "
50467510,10/8/2003,"$140,000 "
50467510,2/11/2003,"$120,000 "
50467510,6/10/1985,"$78,000 "
50467520,12/13/2019,"$259,000 "
50467520,4/15/2004,"$160,000 "
50467520,4/3/1996,$0 
50467520,7/21/1985,"$77,420 "
50467530,8/15/2006,"$199,000 "
50467530,5/24/2004,"$160,000 "
50467530,12/19/2003,"$102,500 "
50467530,12/18/1998,$0 
50467540,8/3/2022,"$239,000 "
50467540,4/25/2005,"$206,000 "
50467540,6/22/2004,"$154,800 "
50467540,11/25/2003,"$99,500 "
50467550,5/13/2022,"$305,000 "
50467550,3/16/2009,"$147,000 "
50467550,3/14/2007,"$250,000 "
50467550,9/11/2003,"$115,000 "
50467550,10/1/1990,"$86,000 "
50467550,6/19/1984,"$82,500 "
50467560,9/3/2019,"$195,000 "
50467560,5/1/1989,$0 
50467560,4/10/1986,$0 
50467560,6/28/1985,"$65,060 "
50467570,9/13/1989,"$73,000 "
50467570,5/2/1989,"$51,100 "
50467570,6/14/1985,"$68,875 "
50467580,9/22/2017,"$148,000 "
50467580,5/11/2004,"$150,000 "
50467580,4/29/2003,"$81,000 "
50467580,6/27/1985,"$69,825 "
50467590,4/25/2019,"$245,000 "
50467590,8/22/2014,"$145,000 "
50467590,3/26/2014,"$67,500 "
50467590,7/20/2004,"$130,000 "
50467590,4/18/2000,"$59,000 "
50467590,9/10/1996,$0 
50467600,5/24/2002,"$70,000 "
50467600,9/25/1993,"$52,200 "
50467600,7/26/1991,"$59,500 "
50467610,11/23/2009,"$156,000 "
50467610,5/7/2004,"$157,900 "
50467610,3/5/2004,"$125,000 "
50467610,8/13/2003,"$85,000 "
50467610,4/25/1985,$0 
50467620,11/4/2014,"$145,000 "
50467620,4/30/2003,"$81,000 "
50467620,6/27/1985,"$70,205 "
50467620,9/26/1984,$0 
50467630,5/30/2019,"$256,000 "
50467630,8/30/2012,"$138,000 "
50467630,12/4/2008,"$135,000 "
50467630,7/16/2008,"$139,300 "
50467630,10/12/2005,"$263,000 "
50467630,7/20/2005,$0 
50467630,8/8/2001,"$70,000 "
50467640,5/15/2003,"$81,000 "
50467640,6/27/1985,"$70,205 "
50467640,9/26/1984,$0 
50467650,8/19/2015,"$223,000 "
50467650,4/14/2005,"$220,000 "
50467650,6/20/1985,"$78,000 "
50467650,9/26/1984,$0 
50467660,1/19/2023,"$345,000 "
50467660,2/23/2010,"$205,000 "
50467660,10/23/2001,$0 
50467660,6/28/1985,"$82,353 "
50467660,9/26/1984,$0 
50467670,2/3/2004,"$120,000 "
50467670,11/5/1996,"$230,000 "
50467670,7/11/1995,"$60,000 "
50467680,7/15/2016,$0 
50467680,7/15/2016,"$168,832 "
50467680,1/5/2016,"$159,000 "
50467680,10/17/2006,"$243,900 "
50467680,5/30/2006,$0 
50467680,9/5/2000,"$347,775 "
50467680,5/11/2000,"$41,250 "
50467680,6/21/1985,"$78,375 "
50467690,10/28/2014,"$210,000 "
50467690,8/8/2014,"$162,000 "
50467690,8/11/2005,"$215,000 "
50467690,6/18/1986,"$80,850 "
50467690,9/26/1984,$0 
50467700,12/27/2022,"$229,000 "
