account_num,year_built,construction_quality,building_condition,hvac,building_type,gross_building_area,net_leasable_area
50467410,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467420,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467430,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467440,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467450,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467460,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467470,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467480,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467490,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467500,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467510,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467520,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467530,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467540,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467550,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467560,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467570,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467580,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467590,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467600,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467610,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467620,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467630,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467640,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467650,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467660,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467670,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467680,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467690,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467700,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467710,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467720,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467730,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467740,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467750,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467760,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467770,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467780,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467790,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467800,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467810,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467820,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467830,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467840,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
